ID,原文件名,新文件名,状态,错误信息
17254,上海迪士尼乐园.jpg,20250320_84161077.jpg,成功,
17255,上海海昌海洋公园.jpg,20250320_85683869.jpg,成功,
17256,上海野生动物园.jpg,20250320_73a3a77b.jpg,成功,
17257,东方绿舟.jpg,20250320_826fd18a.jpg,成功,
17258,东方明珠.jpg,20250320_66eeca13.jpg,成功,
17259,上海自然博物馆.jpg,20250320_387db425.jpg,成功,
17260,上海佛罗伦萨小镇.jpg,20250320_552b7221.jpg,成功,
17261,上海科技馆.jpg,20250320_5bac198e.jpg,成功,
17262,豫园.jpg,20250320_02e1600c.jpg,成功,
17263,上海动物园.jpg,20250320_8d2a7c80.jpg,成功,
17264,辰山植物园.jpg,20250320_5c0f24f4.jpg,成功,
17265,黄浦江游览十六铺码头.jpg,20250320_ca65cdf8.jpg,成功,
17266,上海中心大厦上海之巅观光厅.jpg,20250320_946f1bbe.jpg,成功,
17267,东平国家森林公园.jpg,20250320_d1f7a1c2.jpg,成功,
17268,上海影视乐园.jpg,20250320_d300141d.jpg,成功,
17269,外滩.jpg,20250320_606b4594.jpg,成功,
17270,上海欢乐谷.jpg,20250320_2a6670d2.jpg,成功,
17271,上海杜莎夫人蜡像馆.jpg,20250320_966954e3.jpg,成功,
17272,迪士尼小镇.jpg,20250320_4d134366.jpg,成功,
17273,上海海洋水族馆.jpg,20250320_5a0a167c.jpg,成功,
17274,浦江郊野公园奇迹花园.jpg,20250320_ed82851a.jpg,成功,
17275,广富林文化遗址.jpg,20250320_bbeb6331.jpg,成功,
17276,陆家嘴.jpg,20250320_8e0cfaba.jpg,成功,
17277,浦江郊野公园.jpg,20250320_017f91b7.jpg,成功,
17278,豪华浦江游船东方明珠码头.jpg,20250320_610774b0.jpg,成功,
17279,金茂大厦88层观光厅.jpg,20250320_844977eb.jpg,成功,
17280,顾村公园.jpg,20250320_c403f2d8.jpg,成功,
17281,共青森林公园.jpg,20250320_64d8a4b9.jpg,成功,
17282,上海周浦花海.jpg,20250320_00fc9c7a.jpg,成功,
17283,环球金融中心观光厅.jpg,20250320_1aa96c84.jpg,成功,
17284,上海世纪公园.jpg,20250320_dc277b86.jpg,成功,
17285,上海汽车博物馆.jpg,20250320_484238e2.jpg,成功,
17286,创极速光轮.jpg,20250320_b583449e.jpg,成功,
17287,南京路步行街.jpg,20250320_3750b9fe.jpg,成功,
17288,上海海湾国家森林公园.jpg,20250320_19aa1ac2.jpg,成功,
17289,上海大世界.jpg,20250320_3e8742b8.jpg,成功,
17290,上海大观园.jpg,20250320_b2514999.jpg,成功,
17291,加勒比海盗沉落宝藏之战.jpg,20250320_b32e3fd2.jpg,成功,
17292,外滩观光隧道.jpg,20250320_24a15dd3.jpg,成功,
17293,上海世茂精灵之城主题乐园深坑秘境.jpg,20250320_ad00674a.jpg,成功,
17294,上海世茂精灵之城主题乐园蓝精灵乐园.jpg,20250320_1ecdac0d.jpg,成功,
17295,东方明珠码头黄浦江游船.jpg,20250320_2b24a76f.jpg,成功,
17296,朱家角古镇.jpg,20250320_eab46dc1.jpg,成功,
17297,滨江森林公园.jpg,20250320_bcf96a3a.jpg,成功,
17298,上海长风海洋世界.jpg,20250320_f3966139.jpg,成功,
